"row_id","order_id","order_date","customer_id","discount","rank"
33526,"CA-2011-128055","2021-03-31","AA-10315","0.20","1"
33527,"CA-2011-128055","2021-03-31","AA-10315","0.00","1"
27387,"ID-2011-40953","2021-07-04","AA-10315","0.45","2"
27386,"ID-2011-40953","2021-07-04","AA-10315","0.45","2"
27385,"ID-2011-40953","2021-07-04","AA-10315","0.45","2"
27384,"ID-2011-40953","2021-07-04","AA-10315","0.45","2"
38766,"CA-2011-138100","2021-09-15","AA-10315","0.00","3"
38765,"CA-2011-138100","2021-09-15","AA-10315","0.00","3"
7999,"MX-2011-114685","2021-11-24","AA-10315","0.00","4"
8000,"MX-2011-114685","2021-11-24","AA-10315","0.00","4"
8001,"MX-2011-114685","2021-11-24","AA-10315","0.00","4"
7998,"MX-2011-114685","2021-11-24","AA-10315","0.00","4"
16421,"ES-2012-2960821","2022-05-16","AA-10315","0.00","5"
32596,"CA-2012-121391","2022-10-04","AA-10315","0.00","6"
4754,"MX-2013-140354","2023-02-05","AA-10315","0.00","7"
36498,"CA-2013-103982","2023-03-04","AA-10315","0.20","8"
36495,"CA-2013-103982","2023-03-04","AA-10315","0.20","8"
36497,"CA-2013-103982","2023-03-04","AA-10315","0.20","8"
36496,"CA-2013-103982","2023-03-04","AA-10315","0.20","8"
16762,"ES-2013-5491146","2023-08-07","AA-10315","0.10","9"
19020,"ES-2013-4677050","2023-09-19","AA-10315","0.00","10"
19019,"ES-2013-4677050","2023-09-19","AA-10315","0.00","10"
19018,"ES-2013-4677050","2023-09-19","AA-10315","0.00","10"
11160,"ES-2013-4276357","2023-11-27","AA-10315","0.00","11"
21292,"IN-2013-58152","2023-12-31","AA-10315","0.00","12"
27029,"ID-2014-65824","2024-01-07","AA-10315","0.45","13"
27030,"ID-2014-65824","2024-01-07","AA-10315","0.25","13"
14745,"IT-2014-2944328","2024-06-24","AA-10315","0.40","14"
32456,"CA-2014-147039","2024-06-30","AA-10315","0.00","15"
32457,"CA-2014-147039","2024-06-30","AA-10315","0.00","15"
11431,"ES-2014-5334183","2024-08-04","AA-10315","0.00","16"
11434,"ES-2014-5334183","2024-08-04","AA-10315","0.00","16"
11430,"ES-2014-5334183","2024-08-04","AA-10315","0.00","16"
11432,"ES-2014-5334183","2024-08-04","AA-10315","0.00","16"
11428,"ES-2014-5334183","2024-08-04","AA-10315","0.00","16"
11433,"ES-2014-5334183","2024-08-04","AA-10315","0.00","16"
11429,"ES-2014-5334183","2024-08-04","AA-10315","0.00","16"
11427,"ES-2014-5334183","2024-08-04","AA-10315","0.00","16"
25800,"ID-2014-42388","2024-08-25","AA-10315","0.10","17"
25801,"ID-2014-42388","2024-08-25","AA-10315","0.10","17"
12102,"ES-2014-2697033","2024-12-18","AA-10315","0.15","18"
21642,"IN-2014-55191","2024-12-23","AA-10315","0.00","19"
32469,"CA-2011-158064","2021-04-21","AA-10375","0.20","1"
30789,"IN-2011-82330","2021-10-07","AA-10375","0.00","2"
30788,"IN-2011-82330","2021-10-07","AA-10375","0.00","2"
34304,"CA-2011-130729","2021-10-24","AA-10375","0.20","3"
32104,"CA-2012-140921","2022-02-03","AA-10375","0.00","4"
32105,"CA-2012-140921","2022-02-03","AA-10375","0.00","4"
13609,"IT-2012-3761235","2022-03-23","AA-10375","0.40","5"
6961,"MX-2012-108028","2022-04-03","AA-10375","0.00","6"
33275,"CA-2012-109939","2022-05-08","AA-10375","0.20","7"
22791,"ID-2012-65236","2022-08-28","AA-10375","0.50","8"
37762,"CA-2012-114503","2022-11-13","AA-10375","0.20","9"
3260,"MX-2012-159646","2022-12-03","AA-10375","0.00","10"
358,"US-2013-151379","2023-06-28","AA-10375","0.40","11"
359,"US-2013-151379","2023-06-28","AA-10375","0.40","11"
360,"US-2013-151379","2023-06-28","AA-10375","0.40","11"
357,"US-2013-151379","2023-06-28","AA-10375","0.70","11"
31832,"CA-2013-126613","2023-07-11","AA-10375","0.20","12"
33560,"CA-2013-131065","2023-11-15","AA-10375","0.00","13"
33561,"CA-2013-131065","2023-11-15","AA-10375","0.00","13"
33562,"CA-2013-131065","2023-11-15","AA-10375","0.00","13"
6219,"US-2013-100965","2023-12-03","AA-10375","0.40","14"
6218,"US-2013-100965","2023-12-03","AA-10375","0.40","14"
6544,"US-2013-158281","2023-12-11","AA-10375","0.70","15"
15304,"ES-2013-2061669","2023-12-30","AA-10375","0.00","16"
15300,"ES-2013-2061669","2023-12-30","AA-10375","0.00","16"
15301,"ES-2013-2061669","2023-12-30","AA-10375","0.60","16"
15302,"ES-2013-2061669","2023-12-30","AA-10375","0.00","16"
15303,"ES-2013-2061669","2023-12-30","AA-10375","0.40","16"
14981,"ES-2014-5041758","2024-02-17","AA-10375","0.00","17"
23222,"IN-2014-75456","2024-07-10","AA-10375","0.00","18"
23218,"IN-2014-75456","2024-07-10","AA-10375","0.00","18"
23221,"IN-2014-75456","2024-07-10","AA-10375","0.00","18"
23220,"IN-2014-75456","2024-07-10","AA-10375","0.00","18"
23219,"IN-2014-75456","2024-07-10","AA-10375","0.00","18"
4929,"US-2014-137722","2024-08-27","AA-10375","0.40","19"
40836,"US-2014-169488","2024-09-08","AA-10375","0.00","20"
40835,"US-2014-169488","2024-09-08","AA-10375","0.00","20"
6941,"MX-2014-156979","2024-11-27","AA-10375","0.00","21"
38045,"CA-2014-100230","2024-12-12","AA-10375","0.00","22"
38046,"CA-2014-100230","2024-12-12","AA-10375","0.00","22"
38044,"CA-2014-100230","2024-12-12","AA-10375","0.20","22"
21802,"IN-2014-25644","2024-12-25","AA-10375","0.10","23"
32756,"CA-2011-155271","2021-05-04","AA-10480","0.00","1"
27673,"IN-2011-26064","2021-06-24","AA-10480","0.17","2"
14261,"ES-2011-3257006","2021-11-01","AA-10480","0.10","3"
15003,"ES-2011-2861735","2021-11-03","AA-10480","0.10","4"
18305,"ES-2011-3002504","2021-12-08","AA-10480","0.00","5"
18304,"ES-2011-3002504","2021-12-08","AA-10480","0.00","5"
